timestamp,x,y,yaw,v_current,cte,yaw_err,look_ahead_dist,target_x,target_y,target_local_x,target_local_y,kp,ki,kd,k_cte,mode_idx,in_slow_zone,steer_cmd,accel_cmd
1770020347.1853497,-5.0207,1.2909,1.5769,0.266,-0.1134,0.3171,0.113,-5.0583,1.4033,0.1127,0.037,6.0,0.045,1.0,3.0,2,0,2.0,0.266
1770020347.2099378,-5.0207,1.2909,1.5766,0.286,-0.1134,0.2928,0.12,-5.0583,1.4133,0.1226,0.037,6.0,0.045,1.0,3.0,2,0,2.0,0.286
1770020347.2254066,-5.0207,1.2909,1.5766,0.298,-0.1134,0.2714,0.129,-5.0583,1.4233,0.1326,0.0369,6.0,0.045,1.0,3.0,2,0,2.0,0.298
1770020347.245188,-5.0207,1.2909,1.5768,0.314,-0.1133,0.2708,0.134,-5.0583,1.4233,0.1327,0.0368,6.0,0.045,1.0,3.0,2,0,2.0,0.314
1770020347.2650468,-5.0207,1.2909,1.5768,0.33,-0.1133,0.2523,0.141,-5.0583,1.4333,0.1427,0.0368,6.0,0.045,1.0,3.0,2,0,2.0,0.33
1770020347.2850585,-5.0205,1.2889,1.5774,0.346,-0.1135,0.2499,0.148,-5.0583,1.4333,0.1447,0.0369,6.0,0.045,1.0,3.0,2,0,2.0,0.346
1770020347.3049424,-5.0205,1.2889,1.5774,0.362,-0.1135,0.234,0.156,-5.0583,1.4433,0.1547,0.0369,6.0,0.045,1.0,3.0,2,0,1.9188,0.362
1770020347.3250496,-5.0201,1.286,1.5814,0.378,-0.1143,0.2139,0.163,-5.0583,1.4533,0.1677,0.0364,6.0,0.045,1.0,3.0,2,0,1.756,0.378
1770020347.3450131,-5.0201,1.286,1.5814,0.394,-0.1143,0.2139,0.17,-5.0583,1.4533,0.1677,0.0364,6.0,0.045,1.0,3.0,2,0,1.7155,0.394
1770020347.3654017,-5.0201,1.286,1.5814,0.41,-0.1143,0.2016,0.177,-5.0583,1.4633,0.1777,0.0363,6.0,0.045,1.0,3.0,2,0,1.5915,0.41
1770020347.3851333,-5.0197,1.2826,1.5804,0.426,-0.1161,0.2008,0.185,-5.0583,1.4633,0.1811,0.0369,6.0,0.045,1.0,3.0,2,0,1.5391,0.426
1770020347.4050093,-5.0197,1.2826,1.5804,0.442,-0.1161,0.1901,0.192,-5.0583,1.4733,0.1911,0.0368,6.0,0.045,1.0,3.0,2,0,1.424,0.442
1770020347.424978,-5.0199,1.2817,1.5782,0.458,-0.1158,0.1809,0.199,-5.0583,1.4833,0.2019,0.0369,6.0,0.045,1.0,3.0,2,0,1.3166,0.458
1770020347.4449787,-5.0199,1.2817,1.5782,0.474,-0.1158,0.1721,0.206,-5.0583,1.4933,0.2119,0.0368,6.0,0.045,1.0,3.0,2,0,1.212,0.474
1770020347.464957,-5.0198,1.2829,1.5809,0.49,-0.1159,0.1711,0.213,-5.0583,1.4933,0.2109,0.0364,6.0,0.045,1.0,3.0,2,0,1.1609,0.49
1770020347.4860275,-5.0196,1.2837,1.5839,0.507,-0.1162,0.1615,0.22,-5.0583,1.5033,0.2201,0.0359,6.0,0.045,1.0,3.0,2,0,1.055,0.507
1770020347.513271,-5.0201,1.2856,1.5869,0.529,-0.1145,0.1504,0.228,-5.0583,1.5133,0.2283,0.0346,6.0,0.045,1.0,3.0,2,0,0.9306,0.529
1770020347.5256054,-5.0201,1.2856,1.5869,0.538,-0.1145,0.1435,0.238,-5.0583,1.5233,0.2383,0.0344,6.0,0.045,1.0,3.0,2,0,0.8621,0.538
1770020347.5455077,-5.0201,1.288,1.5928,0.554,-0.1143,0.1324,0.242,-5.0583,1.5333,0.2461,0.0328,6.0,0.045,1.0,3.0,2,0,0.752,0.554
